text,emotion,category
Жахливе місце. Жахлива черга. Ніхто нічого підказати не може.,Anger,Complaint / Dissatisfaction
"Жахливе відношення до людей,які  записані на один час, а чекають набагато довше.Не рекомендую,через те що люди розплановують собі день,а чекати під дверима потрібно довго!!!!",Anger,Complaint / Dissatisfaction
"Як були черги величезні та багатогодинні, так і залишилися. Ганьба. Електронна хвалена черга приймає запис із мого питання 20 жовтня на 7 листопада найближча дата. У результаті просто пекло!  я 242 у черзі, людей у черзі з мого ж питання…",Anger,Complaint / Dissatisfaction
"Сьогодні відвідала ЦНАП(була екскурсія від ініверситету),де розповідали корисну інформацію. Говорили про особливості адміністративних послуг, нові зміни в законодавстві та практичні аспекти роботи з документами. Для юристів це було особливо…",Happiness,Gratitude / Positive Feedback
Пиляток на всьому. Ряд об'єктів почали і не доробили.,Anger,Complaint / Dissatisfaction
"Вступив на ІСТ цього року, тепер молюся, щоб переклали на ПУА, адже це реально професія майбутнього!",Happiness,Question / Request for Help
"Напередодні зареєструвалась в онлайн черзі. Мене прийняли як і зазначалось в квитку о 12-00. За 20 хвилин оформили документи на отримання грошей на пакунок малюка, тому я дуже задоволена, що все пройшло швидко. Але якщо брати квиток на…",Happiness,Gratitude / Positive Feedback
"а по факту ми і дальше просимо боєприпаси,ппо,ракети великої дальності",Sadness,Question / Request for Help
"Півгодини перечитував і ""лайкав коментарі"")). Намагався зрозуміти – чим для мене є Резиденція? Начебто все правильно написано і чогось не вистачає... Для мене це місце - обитель душі Буковини. Це головна святиня та нереальна казка…",Happiness,Gratitude / Positive Feedback
"Команда професійних, ефективних та високомотивованих у своїй справі спеціалістів . Рекомендую до співпраці.",Happiness,Gratitude / Positive Feedback
"Оформлювали закордонний паспорт. Працівники все гарно розповіли, дитині дали розмальовки.
Усе швидко оформили.
Дякую!",Happiness,Gratitude / Positive Feedback
"в шарагі все супер, тільки є мінус це жахливі робочі місця. Якщо в комп'ютерному класі ще норм стільці стоять, то в аудиторіях стоять стародавні парти, тому неможливо не заробити собі пару гриж, особливо слухаючи докучливих викладачів 1.20 годин...",Anger,Complaint / Dissatisfaction
"Нещодавно почала вивчати в Академії Крок напрямок інтернет-маркетинг. Перше, що радує, так це те, що на потоці +- прийшли люди з таким же розумінням цієї сфери (був досвід в іншій школі, де люди вже працювали у сфері реклами не один рік, а…",Happiness,Gratitude / Positive Feedback
Вадім Приходько найкращий учень із золотою медаллю!😍…,Happiness,Gratitude / Positive Feedback
Дуже дякую за допомогу в моїй справі.Буду радити своїм знайомим тільки Адвокадське бюро Зелінської.Ще раз дякую!!!,Happiness,Gratitude / Positive Feedback
"Один із небагатьох закладів у такому роді. По Україні їх на пальцях порахувати можна. Велика територія, прекрасний стадіон з тренажорами, багато різних дерев та кущів і вони доглянуті. А також є буфет і через дорогу є їдальня. Викладачі чудові. Якщо хочете здобути хорошу освіту, то раджу йти сюди.",Happiness,Gratitude / Positive Feedback
"Робили операцію нашій кішці у цій клініці, залишилися дуже задоволені. Швидко, якісно та недорого.",Happiness,Gratitude / Positive Feedback
"Дизайн чудовий, м'які дивани та привітні працівники... Але, на основному сайті 2! телефону невірно вказані: один PR відділу (не закріплений ні за одним користувачем) і HR відділу бере хлопець і каже що постійно йому телефонують...…",Anger,Complaint / Dissatisfaction
"Дуже оперативно зробили оцінку, задоволений обслуговуванням та ціною!",Happiness,Gratitude / Positive Feedback
"Дуже вдячна за співпрацю працівникам ЦНАП, зокрема Головану Олексію Григоровичу, які до вирішення питань завжди ставляться відповідально, оперативно та враховують кожну ситуацію індивідуально.",Happiness,Gratitude / Positive Feedback
Те що взяти талон день в день не реально це нормальна практика. Але навіщо мати сайт де начебто можна взяти талон і їх немає навіть через місяць? На електронні звернення теж ніякої реакції. Я їх написала два.…,Anger,Complaint / Dissatisfaction
"Просто жах! Пішла подавати заяву на аліменти до суду та була шокована. Співробітниці кабінету №5 поводяться по відношенню до відвідувачів огидно! Складається враження, що я прийшла до них додому та прошу дати мені грошей. З таким…",Anger,Complaint / Dissatisfaction
"Дуже вдячний, швидко допомогли  отримати відстрочку",Happiness,Gratitude / Positive Feedback
"Відмінна екскурсія, не довго, але все по темі і з гумором. Дуже гарна територія.",Happiness,Gratitude / Positive Feedback
"Дуже приємно спілкуватися із вашими спеціалістами. Вічливі, приємні, а особливо адміністратор Яремчук Наталія, яка на всі питання надала грунтовні та повні відповіді. Так і на далі тримати. Слава Україні!!!",Happiness,Gratitude / Positive Feedback
Дуже цікаво як в Українському університеті працюють педагоги які підтримують росію. Ще й займають вищі посади.  Стосується Калмикова та її сина. Невже немає викладачів які їх можуть замінити?,Anger,Complaint / Dissatisfaction
"Бюрократія як вона є. Для того щоб взяти одну довідку, треба відксерити весь світ. І все одно буде треба шось ще. Нам ще дуже далеко від «країни в смартфоні». Стосовно самого відділу, працівники могли б бути трохи більш ввічливими з тими, за чий рахунок вони отримують заробітню плату.",Anger,Complaint / Dissatisfaction
"За в’їзд можна заплатити лише готівкою, а охорона надзвичайно груба, вони не сприяють іноземцям, а коли вони запитали, з якої я країни, і сказали, що я британець, тоді сказали, що їх це не хвилює",Anger,Complaint / Dissatisfaction
Був там лише раз коли змінював місце голосування. Сподобався сервіс. Можливо мені просто пощастило.,Happiness,Gratitude / Positive Feedback
"Була на консультації у Віктора Миколайовича,отримала професійну відповідь на свої запитання.Вдячна за чітку відповідь фахівця.",Happiness,Gratitude / Positive Feedback
Згадую про цей навчальний заклад з посмішкою на обличчі. Мої найкращі студентські роки,Happiness,Gratitude / Positive Feedback
"Хочу подякувати всім працівникам візового центру за професіоналізм, тепле ставлення та, звичайно ж, за якісну роботу, виконану вчасно!",Happiness,Gratitude / Positive Feedback
Дуже вдячна адміністратору ЦНАП Зінов'євій Вікторії Юріївні. Бажаю миру і здоров'я!,Happiness,Gratitude / Positive Feedback
"Хочу висловити щиру подяку Валерії Павлівні і Андрію Юрійович за професійну юридичну допомогу у вирішенні складної життєвої позиції.Сердечно дякую Вам за якісну роботу, високий рівень професіоналізму, відповідальність,порядність і…",Happiness,Gratitude / Positive Feedback
"Щиро дякую всім працівникам сервісного центру за уважність, людяність та високий професіоналізм! У самому приміщенні панує затишок та підтримка.
Склала сьогодні з першої спроби з інспектором Олегом Михайловичем: все чітко, зрозуміло, завчасно; атмосфера спокою, підтримки та поваги. Дякую Вам!!!",Happiness,Gratitude / Positive Feedback
"Звертався не один раз, та рекомендував знайомим. За адекватну суму послуги - зміг зробити документи швидко, без черг, з комфортом.…",Happiness,Gratitude / Positive Feedback
"Проходила практичний іспит у сервісному центрі МВС 3248 м. Переяслав — залишились тільки позитивні враження!
🔹 Екзаменатори — професіонали своєї справи: чітко та зрозуміло пояснюють…",Happiness,Gratitude / Positive Feedback
"Був на консультації у юриста Олександра Володимировича з питань мобілізації, мені все докладно пояснили, дуже задоволений , буду звертатись ще",Happiness,Gratitude / Positive Feedback
"Не раджу зв'язуватися із цією конторою. Принцип їх роботи-взяти гроші авансом і більше. Якщо проблеми відбуваються з їхнього боку і хочеш піти з цієї багадільні, добиватись повернення дуже сумнівне задоволення. Було обіцяно вирішити питання…",Anger,Complaint / Dissatisfaction
"Цифрова держава Повідомлення 123 від 18.04.2023 року надіслано  Згодом буде створено спеціальну комісію, яка оцінить збитки. Ми сповістимо вас про наступні кроки, коли буде визначено порядок та розпочато процес компенсації  Разом до перемоги! Слава Україні!                                                                                                                    А далі буде?",Neutral,Question / Request for Help
"Сьогодні отримала водійське посвідчення категорії В. Теорію склала з першого разу, практику з 4. Не так швидко, як планувала, але щиро хочу подякувати Олександру Т. за ефективну організацію роботи Сервісного центру та всьому колективу, адже…",Happiness,Gratitude / Positive Feedback
Старий університет поки що вчить. Наразі налаштований на підготовку фахівців для Європи. Стає більш політехнічним,Neutral,Neutral Comment
"Доброго дня. 20 грудня 2019 року принесла Декларацію про майновий стан та доходи на перевірку до 7го вікна. Все перевірили. Приношу  заповнену декларацію 8 січня 2020 і мені кажуть , що з вересня !!!! 2019 року новий вигляд у деклараціі.…",Anger,Complaint / Dissatisfaction
"За час навчання в університеті отримала максимально великий багаж знань та практичних вмінь. Університет подарував мені багато друзів та приємних спогадів. Загалом, я вважаю, що зробила правильний вибір.",Happiness,Gratitude / Positive Feedback
"Швидке обслуговування. Міняв тут свій український паспорт, все зроблено оперативно, якісно та приємно. Дякую!",Happiness,Gratitude / Positive Feedback
"Знущаються над людьми.
Для них війни немає, змушують пенсіонерів з Німеччини приїздити щоб щось їм особисто довести, керівництво з іншої планети - як у тому фільмі.",Anger,Complaint / Dissatisfaction
Дуже вдячна всім працівникам Сервісного центру. А особлива подяка Бобрику Івану Олександровичу за кваліфіковане оцінювання.,Happiness,Gratitude / Positive Feedback
"Це місце, в якому треба побувати кожному обов'язково. Екскурсія 40 хв, цікаво та легко. Потім можна ходити і гуляти самостійно.",Happiness,Gratitude / Positive Feedback
Шевченківський суд втратив свою першість з появою цього суду,Neutral,Neutral Comment
"Цікавий університет. Особливо столові, за 30 грн. навіть не уявляв, що можна наїстися в 2017.",Surprise,Gratitude / Positive Feedback
Неймовірно красиве місце. Вражає архітектура будівлі. Краса ззовні і всередині будівлі університету. Рекомендую відвідати!,Happiness,Gratitude / Positive Feedback
"Якщо ви любите тварин і хочете дарувати і своє кохання - це найкраще місце. Тут ви можете потискати тварин, вигуляти їх, купувати та допомогти знайти сім'ю. Працівники КП дуже відповідально підходять до своєї роботи та піклуються про…",Happiness,Gratitude / Positive Feedback
"Хотів подякувати працівнику Ірині, яка домогла нам оформити і отримати потрібні документи :)",Happiness,Gratitude / Positive Feedback
